Module,Language,Key,Value,Placeholders
"orders","en","advancedFilters","[MISSING_EN] advancedFilters","[MISSING_EN]"
"orders","en","filter","[MISSING_EN] filter","[MISSING_EN]"
"orders","en","search","[MISSING_EN] search","[MISSING_EN]"
"orders","ru","cancelError","[RU] Cancel Error","[RU]"
"orders","ru","cancelSuccess","[RU] Cancel Success","[RU]"
"orders","ru","carrier","[RU] Carrier","[RU]"
"orders","ru","confirmCancel","[RU] Confirm Cancel","[RU]"
"orders","ru","hideDetails","[RU] Hide Details","[RU]"
"orders","ru","ordered","[RU] Ordered","[RU]"
"orders","ru","success.contact","[RU] Contact","[RU]"
"orders","ru","success.contactDesc","[RU] Contact Desc","[RU]"
"orders","ru","success.description","[RU] Description","[RU]"
"orders","ru","success.emailConfirmation","[RU] Email Confirmation","[RU]"
"orders","ru","success.emailConfirmationDesc","[RU] Email Confirmation Desc","[RU]"
"orders","ru","success.shippingDesc","[RU] Shipping Desc","[RU]"
"orders","ru","success.title","[RU] Title","[RU]"
"orders","ru","success.whatNext","[RU] What Next","[RU]"
"orders","ru","trackingNumber","[RU] Tracking Number","[RU]"
"orders","sr","statistics.inProgress","[MISSING_SR] inProgress","[MISSING_SR]"
"orders","sr","statistics.allTime","[MISSING_SR] allTime","[MISSING_SR]"
"orders","sr","statistics.monthlyComparison","[MISSING_SR] monthlyComparison","[MISSING_SR]"
"orders","sr","statistics.orders","[MISSING_SR] orders","[MISSING_SR]"
"orders","sr","statistics.perOrder","[MISSING_SR] perOrder","[MISSING_SR]"
"orders","sr","statistics.spendingDecrease","[MISSING_SR] spendingDecrease {percent}","[MISSING_SR]"
"orders","sr","statistics.spendingIncrease","[MISSING_SR] spendingIncrease {percent}","[MISSING_SR]"
"orders","sr","statistics.spent","[MISSING_SR] spent","[MISSING_SR]"
"orders","sr","activeFilters","[MISSING_SR] activeFilters","[MISSING_SR]"
"orders","sr","advancedFilters","[MISSING_SR] advancedFilters","[MISSING_SR]"
"orders","sr","filter","[MISSING_SR] filter","[MISSING_SR]"
"orders","sr","search","[MISSING_SR] search","[MISSING_SR]"
"misc","ru","create_listing.ai.publish.ai_insights","[MISSING_RU] ai_insights","[MISSING_RU]"
"misc","ru","create_listing.ai.publish.sellers_used_ai","[MISSING_RU] sellers_used_ai","[MISSING_RU]"
"misc","ru","storefronts.products.selectDifferentCategory","[MISSING_RU] selectDifferentCategory","[MISSING_RU]"
"misc","ru","storefronts.products.stockSettings","[MISSING_RU] stockSettings","[MISSING_RU]"
"misc","ru","storefronts.products.defaultStockQuantity","[MISSING_RU] defaultStockQuantity","[MISSING_RU]"
"misc","ru","storefronts.products.useIndividualQuantities","[MISSING_RU] useIndividualQuantities","[MISSING_RU]"
"misc","ru","gis.district_filter.districts_in","[MISSING_RU] districts_in","[MISSING_RU]"
"misc","sr","storefronts.products.selectDifferentCategory","[MISSING_SR] selectDifferentCategory","[MISSING_SR]"
"misc","sr","storefronts.products.stockSettings","[MISSING_SR] stockSettings","[MISSING_SR]"
"misc","sr","storefronts.products.defaultStockQuantity","[MISSING_SR] defaultStockQuantity","[MISSING_SR]"
"misc","sr","storefronts.products.useIndividualQuantities","[MISSING_SR] useIndividualQuantities","[MISSING_SR]"
"misc","sr","gis.district_filter.districts_in","[MISSING_SR] districts_in","[MISSING_SR]"
"misc","sr","create_listing.ai.publish.ai_insights","[MISSING_SR] ai_insights","[MISSING_SR]"
"misc","sr","create_listing.ai.publish.sellers_used_ai","[MISSING_SR] sellers_used_ai","[MISSING_SR]"
"marketplace","ru","marketplace.filters.condition","[MISSING_RU] condition","[MISSING_RU]"
